name,type,start_time,duration,"identifier","num_data_bytes","data","crc","ack","remote_frame"
"CAN","data_field",3.8086765,3.6e-05,,,0x00,,,
"CAN","data_field",3.8087165,3.2e-05,,,0x00,,,
"CAN","data_field",3.8087525,3.6e-05,,,0x00,,,
"CAN","data_field",3.8087925,3.2e-05,,,0x00,,,
"CAN","crc_field",3.8088325,6e-05,,,,0x0000000000007F10,,
"CAN","ack_field",3.8089005,4e-06,,,,,true,
"CAN","identifier_field",3.81104931,5.6e-05,0x0000000000000601,,,,,
"CAN","control_field",3.81110931,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",3.81112531,3.2e-05,,,0x40,,,
"CAN","data_field",3.81116131,2.8e-05,,,0x64,,,
"CAN","data_field",3.81119331,2.8e-05,,,0x60,,,
"CAN","data_field",3.81122931,3.2e-05,,,0x00,,,
"CAN","data_field",3.81126531,3.6e-05,,,0x00,,,
"CAN","data_field",3.81130531,3.2e-05,,,0x00,,,
"CAN","data_field",3.81134131,3.6e-05,,,0x00,,,
